UTM_X,UTM_Y,elevation
618844.9128294124,4196974.8898192691,680.271667480469
618846.2001014124,4196886.1233719075,706.196716308594
618847.4873501686,4196797.3569359677,725.47412109375
618848.7745756806,4196708.5905114543,761.172180175781
618850.0617779484,4196619.8240983663,812.933776855469
618851.3489569714,4196531.0576967038,822.536804199219
618852.6361127498,4196442.2913064649,789.365417480469
618853.9232452830,4196353.5249276524,762.645263671875
618855.2103545710,4196264.7585602626,754.567993164062
618856.4974406132,4196175.9922042992,751.638244628906
618857.7845034096,4196087.2258597594,721.525939941406
618859.0715429602,4195998.4595266432,715.754150390625
618860.3585592642,4195909.6932049533,719.443420410156
618861.6455523218,4195820.9268946853,736.590148925781
618862.9325221326,4195732.1605958436,736.8740234375
618864.2194686964,4195643.3943084246,750.333862304688
618865.5063920128,4195554.6280324319,737.503662109375
618866.7932920818,4195465.8617678601,730.155029296875
618868.0801689030,4195377.0955147138,692.39111328125
618869.3670224762,4195288.3292729920,664.68017578125
618870.6538528012,4195199.5630426938,642.453369140625
618871.9406598776,4195110.7968238173,633.903198242188
618873.2274437052,4195022.0306163663,629.759155273438
618874.5142042838,4194933.2644203380,628.045043945312
618875.8009416134,4194844.4982357323,624.552612304688
618877.0876556934,4194755.7320625512,621.59912109375
618878.3743465235,4194666.9659007909,619.669677734375
618904.9337457282,4197686.0420312975,719.519409179688
618906.2219658740,4197597.2754853005,701.341491699219
618907.5101627642,4197508.5089507289,688.219055175781
618908.7983363984,4197419.7424275838,676.835571289062
618910.0864867766,4197330.9759158632,673.020263671875
618911.3746138982,4197242.2094155662,655.447509765625
618912.6627177632,4197153.4429266937,645.619262695312
618913.9507983712,4197064.6764492476,653.250732421875
618915.2388557224,4196975.9099832252,681.9873046875
618916.5268898160,4196887.1435286282,713.67041015625
618917.8149006520,4196798.3770854538,730.84423828125
618919.1028882302,4196709.6106537050,783.043884277344
618920.3908525504,4196620.8442333797,817.888427734375
618921.6787936122,4196532.0778244799,825.953552246094
618922.9667114152,4196443.3114270037,792.873046875
618924.2546059594,4196354.5450409511,750.2333984375
618925.5424772446,4196265.7786663221,740.950256347656
618926.8303252707,4196177.0123031177,717.562438964844
618928.1181500370,4196088.2459513359,707.172119140625
618929.4059515436,4195999.4796109768,700.252380371094
618930.6937297900,4195910.7132820440,702.685791015625
618931.9814847760,4195821.9469645331,707.239807128906
618933.2692165019,4195733.1806584466,701.163391113281
618934.5569249666,4195644.4143637829,703.008117675781
618935.8446101702,4195555.6480805436,701.443115234375
618937.1322721130,4195466.8818087243,708.955078125
618938.4199107940,4195378.1155483313,688.9130859375
618939.7075262130,4195289.3492993601,656.654113769531
618940.9951183704,4195200.5830618124,642.208435058594
618942.2826872654,4195111.8168356847,629.422729492188
618943.5702328980,4195023.0506209824,625.91943359375
618944.8577552676,4194934.2844177037,624.168640136719
618946.1452543746,4194845.5182258459,621.13427734375
618947.4327302180,4194756.7520454098,620.419982910156
618948.7201827982,4194667.9858763972,617.725646972656
618975.2536805220,4197687.0628569135,722.158935546875
618976.5426628720,4197598.2963036858,704.299072265625
618977.8316219526,4197509.5297618816,683.671752929688
618979.1205577636,4197420.7632315019,674.540832519531
618980.4094703048,4197331.9967125459,669.66357421875
618981.6983595756,4197243.2302050143,658.436950683594
618982.9872255762,4197154.4637089064,641.808715820312
618984.2760683062,4197065.6972242231,649.826538085938
618985.5648877652,4196976.9307509623,692.785766601562
618986.8536839532,4196888.1642891262,718.27587890625
618988.1424568698,4196799.3978387136,761.845092773438
618989.4312065148,4196710.6313997237,803.448974609375
618990.7199328878,4196621.8649721583,830.376647949219
618992.0086359888,4196533.0985560166,828.412841796875
618993.2973158174,4196444.3321512975,789.668212890625
618994.5859723736,4196355.5657580011,756.0361328125
618995.8746056568,4196266.7993761273,720.355529785156
618997.1632156670,4196178.0330056790,696.177856445312
618998.4518024040,4196089.2666466516,688.419982910156
618999.7403658672,4196000.5002990458,689.732177734375
619001.0289060568,4195911.7339628655,695.618713378906
619002.3174229722,4195822.9676381061,696.335021972656
619003.6059166132,4195734.2013247712,688.938659667969
619004.8943869800,4195645.4350228580,674.018859863281
619006.1828340718,4195556.6687323675,676.817749023438
619007.4712578886,4195467.9024532977,679.813415527344
619008.7596584300,4195379.1361856516,672.761901855469
619010.0480356961,4195290.3699294273,654.992370605469
619011.3363896864,4195201.6036846256,638.474548339844
619012.6247204008,4195112.8374512456,628.886840820312
619013.9130278388,4195024.0712292874,622.346618652344
619015.2013120002,4194935.3050187519,621.058349609375
619016.4895728850,4194846.5388196362,618.349853515625
619017.7778104928,4194757.7726319432,618.497924804688
619019.0660248233,4194669.0064556729,614.696411132812
619045.5736210464,4197688.0842863470,727.219299316406
619046.8633656014,4197599.3177258819,703.319763183594
619048.1530868732,4197510.5511768395,685.532531738281
619049.4427848615,4197421.7846392235,669.594055175781
619050.7324595664,4197333.0181130292,664.217590332031
619052.0221109875,4197244.2515982566,652.179504394531
619053.3117391242,4197155.4850949086,640.505126953125
619054.6013439766,4197066.7186029842,657.135620117188
619055.8909255444,4196977.9521224806,690.844848632812
619057.1804838274,4196889.1856534025,733.867614746094
619058.4700188250,4196800.4191957451,786.68896484375
619059.7595305374,4196711.6527495123,830.330017089844
619061.0490189644,4196622.8863147004,839.660034179688
619062.3384841054,4196534.1198913120,824.037109375
619063.6279259602,4196445.3534793472,799.592346191406
619064.9173445288,4196356.5870788032,757.813903808594
619066.2067398108,4196267.8206896819,717.926574707031
619067.4961118060,4196179.0543119824,682.438903808594
619068.7854605140,4196090.2879457064,680.720764160156
619070.0747859348,4196001.5215908503,683.171875
619071.3640880680,4195912.7552474178,686.811401367188
619072.6533669134,4195823.9889154062,688.258483886719
619073.9426224708,4195735.2225948172,687.503051757812
619075.2318547398,4195646.4562856499,666.815673828125
619076.5210637206,4195557.6899879044,658.230346679688
619077.8102494122,4195468.9237015788,656.919494628906
619079.0994118151,4195380.1574266767,659.159301757812
619080.3885509284,4195291.3911631964,647.454711914062
619081.6776667526,4195202.6249111360,637.608825683594
619082.9667592868,4195113.8586704964,626.715270996094
619084.2558285310,4195025.0924412794,620.328247070312
619085.5448744850,4194936.3262234842,618.0302734375
619086.8338971484,4194847.5600171071,617.810119628906
619088.1228965212,4194758.7938221516,614.764343261719
619089.4118726030,4194670.0276386179,613.078063964844
619115.8935673048,4197689.1063195970,725.78076171875
619117.1840740654,4197600.3397518918,708.839599609375
619118.4745575292,4197511.5731956083,682.549987792969
619119.7650176958,4197422.8066507485,668.478271484375
619121.0554545650,4197334.0401173104,654.088073730469
619122.3458681366,4197245.2735952949,645.5
619123.6362584104,4197156.5070847021,637.955932617188
619124.9266253860,4197067.7405855311,652.81640625
619126.2169690630,4196978.9740977827,692.430114746094
619127.5072894418,4196890.2076214571,736.899230957031
619128.7975865214,4196801.4411565522,801.472045898438
619130.0878603020,4196712.6747030700,843.09375
619131.3781107832,4196623.9082610086,841.868835449219
