,UTM_X,UTM_Y,latitude,longitude,elevation
156,618283.0,4197042.18,37.913237576816115,-1.6543866553572752,718.3672
157,618283.0,4197056.835,37.91336962629884,-1.654384249598767,718.3672
158,618283.0,4197071.49,37.913501675778484,-1.6543818438245599,718.23157
159,618283.0,4197086.145,37.91363372525501,-1.6543794380346024,718.23157
160,618283.0,4197100.8,37.91376577472844,-1.654377032228946,718.0619
161,618283.0,4197115.455,37.91389782419877,-1.6543746264075645,718.0619
162,618283.0,4197130.11,37.91402987366602,-1.6543722205704587,717.8414
163,618283.0,4197144.765,37.91416192313013,-1.6543698147176535,716.3873
164,618283.0,4197159.42,37.91429397259117,-1.6543674088490983,716.3873
165,618283.0,4197174.075,37.9144260220491,-1.6543650029648438,714.9845
166,618283.0,4197188.73,37.91455807150393,-1.6543625970648645,714.9845
167,618283.0,4197203.385,37.91469012095564,-1.6543601911491608,707.3095
168,618283.0,4197218.04,37.91482217040429,-1.6543577852177325,707.3095
169,618283.0,4197232.695,37.91495421984981,-1.6543553792705792,704.09546
170,618283.0,4197247.35,37.91508626929223,-1.654352973307727,701.0215
171,618283.0,4197262.005,37.915218318731554,-1.6543505673291246,701.0215
172,618283.0,4197276.66,37.91535036816779,-1.6543481613348228,698.3942
173,618283.0,4197291.315,37.91548241760093,-1.6543457553247964,698.3942
174,618283.0,4197305.97,37.91561446703094,-1.6543433492990456,695.75354
175,618283.0,4197320.625,37.91574651645788,-1.6543409432575698,695.75354
176,618283.0,4197335.28,37.9158785658817,-1.6543385372003696,693.68726
177,618283.0,4197349.935,37.91601061530242,-1.65433613112747,692.27985
178,618283.0,4197364.59,37.91614266472004,-1.6543337250388204,688.68854
179,618283.0,4197379.245,37.91627471413457,-1.6543313189344715,687.7195
180,618283.0,4197393.9,37.916406763545986,-1.6543289128143726,687.7195
181,618283.0,4197408.555,37.91653881295431,-1.6543265066785744,686.9965
182,618283.0,4197423.21,37.91667086235953,-1.6543241005270515,687.325
183,618283.0,4197437.865,37.916802911761664,-1.654321694359804,687.325
184,618283.0,4197452.52,37.91693496116066,-1.6543192881768318,687.62994
185,618283.0,4197467.175,37.91706701055661,-1.654316881978135,687.62994
186,618283.0,4197481.83,37.91719905994942,-1.6543144757637136,688.12787
187,618283.0,4197496.485,37.917331109339145,-1.6543120695335929,688.12787
188,618283.0,4197511.14,37.917463158725745,-1.6543096632877219,688.7555
189,618283.0,4197525.795,37.91759520810928,-1.6543072570261266,689.54364
190,618283.0,4197540.45,37.91772725748969,-1.6543048507488318,685.1582
191,618283.0,4197555.105,37.91785930686701,-1.6543024444558125,685.5571
192,618283.0,4197569.76,37.91799135624122,-1.654300038147043,685.5571
